Občina,Površina km2,Št. naselij,Št. prebivalcev,Moški,Ženske,0-14 let,15-64 let,65+ let,Naravni prirastek,Povprečna bruto plača,Delovno aktivno prebivalstvo,Registrirane brezposelne osebe,Število OŠ,Število osnovnošolcev,Število dijakov,Število študentov,Ustanovitev,Pokrajina,Statistična regija
Majšperk,72.8,26,3996,2024,1972,576,2695,725,-11,1183.61,1619,178,3,321,144,148,1994,Štajerska,Podravska
Makole,36.9,13,2039,1030,1009,285,1377,377,10,1144.73,812,105,1,140,81,72,2006,Štajerska,Podravska
Maribor,147.5,32,110543,54088,56455,13528,72895,24120,-393,1497.32,38105,7970,25,7985,3032,3634,1991,Štajerska,Podravska
Markovci,29.8,9,4030,1977,2053,609,2702,719,21,1208.9,1682,164,1,309,159,154,1998,Štajerska,Podravska
Medvode,77.6,31,16123,7954,8169,2617,10441,3065,17,1435.65,6392,678,7,1436,598,715,1994,Gorenjska,Osrednjeslovenska
Mengeš,22.4,4,7716,3699,4017,1344,4967,1405,-11,1434.81,3048,327,1,736,267,285,1994,Gorenjska,Osrednjeslovenska
Metlika,108.9,59,8354,4228,4126,1220,5520,1614,-43,1255.43,3279,636,3,674,314,333,1991,Dolenjska,Jugovzhodna
Mežica,26.4,6,3573,1813,1760,459,2397,717,-17,1604.17,1346,144,1,300,124,112,1994,Koroška,Koroška
Miklavž na Dravskem polju,12.5,4,6542,3233,3309,972,4259,1311,-1,1244.73,2440,373,2,542,221,246,1998,Štajerska,Podravska
Miren - Kostanjevica,62.8,15,4820,2426,2394,669,3184,967,-9,1380.65,1814,214,3,312,161,191,1994,Primorska,Goriška
Mirna,31.3,22,2526,1249,1277,386,1731,409,18,1401.44,1098,100,2,243,98,108,2011,Dolenjska,Jugovzhodna
Mirna Peč,48,28,2932,1505,1427,504,2024,404,19,1309.22,1296,101,1,266,133,133,1998,Dolenjska,Jugovzhodna
Mislinja,112.2,11,4590,2291,2299,670,3144,776,4,1229.45,1878,210,3,376,223,204,1994,Koroška,Koroška
Mokronog - Trebelno,73.4,43,3032,1504,1528,486,2051,495,5,1303.9,1267,113,2,260,124,111,2006,Dolenjska,Jugovzhodna
Moravče,61.4,49,5250,2609,2641,991,3504,755,36,1398.54,2289,165,2,565,264,202,1994,Gorenjska,Osrednjeslovenska
Moravske Toplice,144.5,28,5831,2907,2924,752,3834,1245,11,1157.98,2108,461,3,317,207,200,1994,Prekmurje,Pomurska
Mozirje,53.5,8,4062,2006,2056,635,2668,759,21,1311.25,1611,233,3,382,206,183,1991,Štajerska,Savinjska
Murska Sobota,64.4,12,18923,8991,9932,2475,12253,4195,-71,1447.42,6371,1666,6,1704,570,667,1991,Prekmurje,Pomurska
Muta,38.8,6,3373,1698,1675,479,2291,603,1,1400.68,1270,151,2,300,156,136,1994,Koroška,Koroška
Naklo,28.3,13,5310,2647,2663,870,3432,1008,8,1420.82,2086,164,3,542,251,267,1994,Gorenjska,Gorenjska
Nazarje,43.4,15,2587,1300,1287,370,1772,445,0,1466.76,1097,162,2,224,101,125,1994,Štajerska,Savinjska
Nova Gorica,279.5,44,31798,15689,16109,4590,20455,6753,-65,1560.66,12107,1534,12,2654,1094,1217,1991,Primorska,Goriška
Novo mesto,235.7,98,36480,18138,18342,6012,24158,6310,77,1766.16,14866,1796,13,3391,1388,1654,1991,Dolenjska,Jugovzhodna
Odranci,6.9,1,1632,814,818,249,1101,282,3,1143.49,613,115,1,147,60,57,1994,Prekmurje,Pomurska
Oplotnica,33.2,21,4116,2081,2035,638,2813,665,11,1168.89,1702,194,2,329,154,174,1998,Štajerska,Podravska
Ormož,141.6,61,12288,6148,6140,1684,8176,2428,-22,1271.92,4864,716,7,974,484,456,1991,Štajerska,Podravska
Osilnica,36.2,19,370,203,167,37,233,100,-2,1032.41,99,23,1,3,7,6,1994,Dolenjska,Jugovzhodna
Pesnica,75.8,30,7411,3721,3690,969,4943,1499,-54,1357.42,2631,393,4,569,295,235,1991,Štajerska,Podravska
Piran,44.6,11,17823,8775,9048,2076,12095,3652,-69,1396.19,6839,976,11,1190,521,534,1991,Primorska,Obalno-kraška
Pivka,223.3,29,6080,3105,2975,932,4016,1132,17,1357.92,2518,317,3,519,218,201,1994,Primorska,Obalno-kraška
Podčetrtek,60.6,26,3323,1698,1625,485,2241,597,10,1199.99,1364,192,3,277,136,145,1994,Štajerska,Savinjska
Podlehnik,46,13,1810,927,883,195,1313,302,-6,1501.6,774,88,1,110,58,62,1998,Štajerska,Podravska
Podvelka,103.9,11,2365,1226,1139,330,1607,428,-7,1217.89,805,139,3,166,80,75,1994,Štajerska,Koroška
Poljčane,37.5,18,4436,2139,2297,615,2862,959,-28,1181.64,1614,251,1,349,166,158,2006,Štajerska,Podravska
Polzela,34,8,6142,2980,3162,992,3969,1181,-43,1185.93,2364,323,2,595,269,225,1998,Štajerska,Savinjska
Postojna,269.9,40,16124,8121,8003,2637,10706,2781,34,1463.71,6609,852,9,1396,520,573,1991,Notranjska,Notranjsko-kraška
Prebold,40.6,8,5050,2513,2537,803,3308,939,-14,1304.13,2019,287,1,408,156,170,1998,Štajerska,Savinjska
Preddvor,87,14,3592,1747,1845,580,2242,770,-40,1315.49,1474,97,2,382,155,148,1994,Gorenjska,Gorenjska
Prevalje,58.1,13,6781,3343,3438,920,4400,1461,-36,1339.08,2481,298,4,569,253,246,1998,Koroška,Koroška
Ptuj,66.7,10,23137,11490,11647,3111,15352,4674,-61,1307.51,9063,1111,6,1851,766,934,1991,Štajerska,Podravska
Puconci,107.7,23,5958,2919,3039,777,4035,1146,-35,1407.59,1979,505,3,493,197,171,1994,Prekmurje,Pomurska
Rače - Fram,51.2,14,7153,3572,3581,1084,4803,1266,9,1248.07,2738,406,2,593,235,247,1994,Štajerska,Podravska
Radeče,52,23,4265,2097,2168,557,2870,838,12,1320.5,1707,240,2,333,175,179,1994,Primorska,Obalno-kraška
Radenci,34.1,22,5143,2506,2637,613,3359,1171,-50,1370.95,1762,312,2,392,174,192,1994,Štajerska,Pomurska
Radlje ob Dravi,93.9,14,6218,3145,3073,945,4076,1197,-15,1370.37,2204,344,3,519,220,223,1991,Štajerska,Koroška
Radovljica,118.7,52,18823,9151,9672,2834,12037,3952,-60,1388.53,7389,726,9,1667,634,742,1991,Gorenjska,Gorenjska
Ravne na Koroškem,63.4,16,11321,5720,5601,1548,7605,2168,27,1584.42,4375,551,4,905,427,468,1991,Koroška,Koroška
Razkrižje,9.8,6,1293,653,640,187,864,242,5,1370.69,471,71,1,91,45,42,1998,Štajerska,Pomurska
Rečica ob Savinji,30.1,12,2313,1204,1109,342,1532,439,0,1059.07,953,146,1,196,84,113,2006,Štajerska,Savinjska
Renče - Vogrsko,29.5,6,4347,2202,2145,622,2822,903,16,1322.71,1712,176,3,303,137,161,2006,Primorska,Goriška
Ribnica,153.6,64,9396,4767,4629,1489,6302,1605,18,1431.13,3947,420,4,767,355,403,1991,Dolenjska,Jugovzhodna
Ribnica na Pohorju,59.3,6,1178,585,593,177,783,218,-4,1261.75,424,59,1,125,48,40,1998,Štajerska,Koroška
Rogaška Slatina,71.5,41,11047,5543,5504,1645,7477,1925,2,1262.57,4627,659,5,959,451,401,1994,Štajerska,Savinjska
Rogašovci,40.1,11,3077,1519,1558,419,2149,509,-10,1236.17,782,259,2,222,110,85,1994,Prekmurje,Pomurska
Rogatec,39.6,9,3084,1536,1548,439,2150,495,4,1149.14,1317,207,3,236,123,111,1994,Štajerska,Savinjska
Ruše,60.8,7,7092,3576,3516,937,4735,1420,-12,1695.78,2622,502,1,450,265,212,1991,Štajerska,Podravska
Selnica ob Dravi,64.5,14,4494,2276,2218,580,3029,885,9,1224.6,1698,257,3,329,168,178,1998,Štajerska,Podravska
Semič,146.7,47,3797,1939,1858,557,2540,700,-2,1263.79,1561,289,2,308,132,148,1994,Dolenjska,Jugovzhodna
Sevnica,272.2,119,17483,8892,8591,2406,11698,3379,-67,1323.84,7082,915,9,1366,687,692,1991,Dolenjska,Spodnjeposavska
Sežana,217.4,64,13180,6627,6553,1832,8670,2678,-10,1406.69,5063,597,4,981,367,451,1991,Primorska,Obalno-kraška
Slovenj Gradec,173.7,22,16686,8297,8389,2539,11275,2872,30,1448.51,6691,897,9,1467,724,740,1991,Koroška,Koroška
Slovenska Bistrica,260.1,79,25406,12540,12866,3994,17114,4298,20,1452.77,9985,1436,12,2245,957,942,1991,Štajerska,Podravska
Slovenske Konjice,97.8,58,14662,7446,7216,2334,9965,2363,18,1316.77,6065,918,8,1397,577,600,1991,Štajerska,Savinjska
