Občina,Površina km2,Št. naselij,Št. prebivalcev,Moški,Ženske,0-14 let,15-64 let,65+ let,Naravni prirastek,Povprečna bruto plača,Delovno aktivno prebivalstvo,Registrirane brezposelne osebe,Število OŠ,Število osnovnošolcev,Število dijakov,Število študentov,Ustanovitev,Pokrajina,Statistična regija
Črnomelj,339.7,122,14400,7307,7093,2091,9535,2774,-53,1312.2,5429,1432,8,1217,446,531,1991,Dolenjska,Jugovzhodna
Destrnik,34.4,17,2548,1294,1254,378,1777,393,10,1303.36,1046,113,1,246,96,90,1994,Štajerska,Podravska
Divača,145,31,3989,2073,1916,561,2688,740,3,1378.74,1658,170,3,316,111,137,1994,Primorska,Obalno-kraška
Dobje,17.5,13,987,471,516,163,659,165,2,1668.72,400,44,1,103,40,44,1998,Štajerska,Savinjska
Dobrepolje,103.1,24,3897,2007,1890,615,2551,731,-27,1221.73,1569,146,3,340,184,141,1994,Dolenjska,Osrednjeslovenska
Dobrna,31.7,11,2230,1132,1098,334,1547,349,6,1251.2,876,95,1,193,86,93,1998,Štajerska,Savinjska
Dobrova - Polhov Gradec,117.5,33,7600,3806,3794,1417,4901,1282,44,1286.58,3097,240,4,777,386,331,1994,Gorenjska,Osrednjeslovenska
Dobrovnik,31.1,3,1266,608,658,172,822,272,6,1341.91,411,135,1,94,39,40,1998,Prekmurje,Pomurska
Dol pri Ljubljani,33.3,19,5955,2971,2984,1152,3917,886,47,1619.83,2474,237,3,622,252,247,1994,Gorenjska,Osrednjeslovenska
Dolenjske Toplice,110.2,29,3412,1724,1688,523,2300,589,13,1324.72,1427,154,1,303,115,169,1998,Dolenjska,Jugovzhodna
Domžale,72.3,50,35458,17417,18041,6130,23531,5797,91,1436.96,14664,1545,9,3071,1385,1482,1991,Gorenjska,Osrednjeslovenska
Dornava,28.4,12,2894,1469,1425,407,2038,449,-6,1369.85,1054,105,1,239,110,92,1994,Štajerska,Podravska
Dravograd,105,25,8932,4465,4467,1294,5881,1757,-20,1362.14,3274,461,6,687,370,326,1991,Koroška,Koroška
Duplek,40,10,6777,3312,3465,1026,4633,1118,5,1234.9,2645,413,4,491,257,237,1994,Štajerska,Podravska
Gorenja vas - Poljane,153.3,73,7481,3754,3727,1568,4855,1058,69,1469.25,3133,172,5,928,407,364,1994,Gorenjska,Gorenjska
Gorišnica,29.1,11,3982,1978,2004,604,2677,701,-11,1243.78,1587,151,1,365,162,145,1994,Štajerska,Podravska
Gorje,116.2,12,2828,1424,1404,445,1818,565,3,1330.76,1082,96,1,251,113,108,2006,Gorenjska,Gorenjska
Gornja Radgona,74.6,30,8471,4200,4271,1092,5712,1667,-25,1418.12,2959,565,3,625,298,292,1991,Štajerska,Pomurska
Gornji Grad,90.1,6,2551,1289,1262,352,1621,578,-58,1275.16,950,123,3,203,96,98,1994,Štajerska,Savinjska
Gornji Petrovci,66.8,14,2044,995,1049,222,1344,478,-15,1136.64,681,135,1,117,54,55,1994,Prekmurje,Pomurska
Grad,37.4,7,2141,1060,1081,244,1423,474,-2,1357.84,602,128,1,122,73,58,1991,Prekmurje,Pomurska
Grosuplje,133.8,67,20181,10205,9976,3685,13453,3043,98,1424.04,8424,974,8,2068,812,835,1991,Dolenjska,Osrednjeslovenska
Hajdina,21.8,7,3710,1836,1874,535,2443,732,10,1060.98,1466,149,1,242,132,130,1998,Štajerska,Podravska
